"Abieluvararegistri seadus"	"AVRS"
"Seadme ohutuse seadus"	"SeOS"
"Seadus süümevande andmise korra kohta"	"SVS"
"Sihtasutuste seadus"	"SAS"
"Soodustingimustel vanaduspensionide seadus"	"SVPS"
"Soolise võrdõiguslikkuse seadus"	"SoVS"
"Sotsiaalhoolekande seadus"	"SHS"
"Sotsiaalmaksuseadus"	"SMS"
"Sotsiaalseadustiku üldosa seadus"	"SÜS"
"Spordiseadus"	"SpS"
"Strateegilise kauba seadus"	"StrKS"
"Sundeksemplari seadus"	"SES"
"Surma põhjuse tuvastamise seadus"	"SPTS"
"Sõjahaudade kaitse seadus"	"SHKS"
"Säilituseksemplari seadus"	"SäES"
"Säästva arengu seadus"	"SäAS"
"Söödaseadus"	"SöS"
"Süüteomenetluses tekitatud kahju hüvitamise seadus"	"SKHS"
"Tagatisfondi seadus"	"TFS"
"Taimede paljundamise ja sordikaitse seadus"	"TPSKS"
"Taimekaitseseadus"	"TaimKS"
"Tallinna Tehnikaülikooli seadus"	"TTÜKS"
"Tarbijakaitseseadus"	"TKS"
"Tartu Ülikooli seadus"	"TÜKS"
"Teadus- ja arendustegevuse korralduse seadus"	"TAKS"
"Teenetemärkide seadus"	"TeenMS"
"Tervishoiuteenuste korraldamise seadus"	"TTKS"
"Toiduseadus"	"ToiduS"
"Tolliseadus"	"TS"
"Toote nõuetele vastavuse seadus"	"TNVS"
"Tsiviilkohtumenetluse seadustik"	"TsMS"
"Tsiviilkohtumenetluse seadustiku ja täitemenetluse seadustiku rakendamise seadus"	"TsMSRS"
"Tsiviilseadustiku üldosa seadus"	"TsÜS"
"Tubakaseadus"	"TubS"
"Tuleohutuse seadus"	"TuOS"
"Tulumaksuseadus"	"TuMS"
"Tulundusühistuseadus"	"TÜS"
"Tunnistajakaitse seadus"	"TuKS"
"Turismiseadus"	"TurS"
"Turvaseadus"	"TurvaS"
"Tõestamisseadus"	"TõS"
"Täiskasvanute koolituse seadus"	"TäKS"
"Täitemenetluse seadustik"	"TMS"
"Töölepingu seadus"	"TLS"
"Tööstusdisaini kaitse seadus"	"TDKS"
"Tööstusheite seadus"	"THS"
"Tööstusomandi õiguskorralduse aluste seadus"	"TÕAS"
"Töötajate distsiplinaarvastutuse seadus"	"TDVS"
"Töötajate usaldusisiku seadus"	"TUIS"
"Töötajate üleühenduselise kaasamise seadus"	"TÜÜKS"
"Töötervishoiu ja tööohutuse seadus"	"TTOS"
"Tööturuteenuste ja -toetuste seadus"	"TTTS"
"Töötuskindlustuse seadus"	"TKindlS"
"Töövõimetoetuse seadus"	"TVTS"
"Vabariigi Presidendi valimise seadus"	"VPVS"
"Vabariigi Valitsuse reglement"	"VVR"
"Vabariigi Valitsuse seadus"	"VVS"
"Vandetõlgi seadus"	"VTS"
"Vanemahüvitise seadus"	"VHS"
"Vangistusseadus"	"VangS"
"Vedelkütuse erimärgistamise seadus"	"VKEMS"
"Vedelkütuse seadus"	"VKS"
"Vedelkütusevaru seadus"	"VKVS"
"Veeseadus"	"VeeS"
"Vereseadus"	"VereS"
"Veterinaarkorralduse seadus"	"VetKS"
"Võlaõigusseadus"	"VÕS"
"Võlaõigusseaduse, tsiviilseadustiku üldosa seaduse ja rahvusvahelise eraõiguse seaduse rakendamise seadus"	"VÕSRS"
"Võlgade ümberkujundamise ja võlakaitse seadus"	"VÕVS"
"Võrdse kohtlemise seadus"	"VõrdKS"
"Väetiseseadus"	"VäetS"
"Vähemusrahvuse kultuuriautonoomia seadus"	"VRKAS"
"Välismaalasele rahvusvahelise kaitse andmise seadus"	"VRKS"
"Välismaalaste seadus"	"VMS"
"Välisriigi kutsekvalifikatsiooni tunnustamise seadus"	"VKTS"
"Välissuhtlemisseadus"	"VäSS"
"Välisteenistuse seadus"	"VäTS"
"Välisõhu kaitse seadus"	"VÕKS"
"Väljasõidukohustuse ja sissesõidukeelu seadus"	"VSS"
"Väljateenitud aastate pensionide seadus"	"VAPS"
"Väärismetalltoodete seadus"	"VMTS"
"Väärteomenetluse seadustik"	"VTMS"
"Väärtpaberituru seadus"	"VPTS"
"Õiguskantsleri seadus"	"ÕKS"
"Õigusvastaselt võõrandatud vara maksumuse määramise ja kompenseerimise seadus"	"ÕVVS"
"Õppetoetuste ja õppelaenu seadus"	"ÕÕS"
"Äriseadustik"	"ÄS"
"Ühistranspordiseadus"	"ÜTS"
"Ühisveevärgi ja -kanalisatsiooni seadus"	"ÜVVKS"
"Üleliigse laovaru tasu seadus"	"ÜLTS"
"Ülikooliseadus"	"ÜKS"
"Üürivaidluse lahendamise seadus"	"ÜVLS"
